distance,gradient,time,climb,year,VAM
5.7,6.9,960.0000000000001,Mollard,2015,1474.8750000000002
18.0,6.1,2668.0,Toussuire,2015,1481.5592203898052
21.7,5.2,3470.0,Glandon,2015,1170.6743515850146
6.6,7.0,1002.0000000000001,Allos,2015,1659.8802395209577
6.3,6.4,856.0,Loup,2015,1695.7009345794393
9.0,5.6,1197.0,Manse,2015,1515.7894736842104
14.2,5.9,2535.0,Core,2015,1189.7751479289939
13.1,6.1,2060.0,lers,2015,1396.4854368932038
15.9,7.9,2730.0,Beille,2015,1656.3956043956046
12.0,6.5,2380.0,Aspin,2015,1179.8319327731092
17.0,7.4,3089.0,Tourmalet,2015,1466.1055357720945
15.7,7.4,2500.0,Soudet,2015,1672.9920000000002
